ethnicity,gender,age group,examined count,mean,standard error,5,10,15,25,50,75,85,90,95
All,Female,20-29,680,88.2,0.90,68.6,71.7,73.1,75.8,84.3,96.7,106.1,113.5,119.5
All,Female,30-39,648,91.6,0.92,71.6,74.1,76.2,79.6,89.3,100.2,106.9,111.8,121.1
All,Female,40-49,767,95.2,0.75,72.9,76.2,79.3,83.7,92.6,105.4,111.4,116.8,125.5
All,Female,50-59,582,96.9,0.92,72.3,76.3,78.8,84.8,95.4,108.1,113.8,117.7,127.7
All,Female,60-69,670,98.6,0.62,75.7,79.8,82.8,88.1,97.1,108.8,114.8,118.9,123.8
All,Female,70-79,441,96.2,0.91,72.6,79.0,82.6,87.5,96.1,103.9,109.7,113.1,120.8
All,Female,80-100,346,94.0,0.72,74.9,78.6,80.8,86.1,93.9,101.6,105.5,109.3,112.8
White,Female,20-39,599,88.9,0.90,70.2,72.8,74.0,76.9,85.2,97.4,105.3,112.3,119.9
White,Female,40-59,664,95.4,0.73,72.0,75.3,78.0,83.2,93.3,105.9,111.9,116.9,125.6
White,Female,60-100,864,96.6,0.51,74.7,78.8,82.0,87.3,96.0,104.9,110.6,114.9,121.5
Black,Female,20-39,315,95.8,1.04,70.9,74.6,77.3,81.8,93.4,107.3,114.4,119.1,128.2
Black,Female,40-59,343,101.2,0.73,75.9,81.3,85.6,89.2,99.7,111.6,117.3,123.5,131.4
Black,Female,60-100,248,102.4,0.75,79.4,83.5,86.4,91.1,100.9,112.4,118.8,121.9,128.5
Hisp,Female,20-39,292,93.8,0.93,74.6,77.3,79.7,83.4,91.7,102.9,107.8,112.0,120.5
Hisp,Female,40-59,228,98.2,1.07,77.4,80.5,83.1,88.1,96.5,107.0,112.7,116.1,123.6
Hisp,Female,60-100,270,98.4,0.82,80.1,83.1,87.0,90.0,97.4,106.4,111.5,113.1,121.2
All,Male,20-29,783,93.8,0.80,73.5,76.8,78.8,82.8,90.9,101.3,108.4,113.3,123.9
All,Male,30-39,715,98.2,0.63,78.9,81.9,85.1,88.9,96.8,105.7,111.4,115.0,120.7
All,Male,40-49,750,102.9,0.66,82.4,86.6,89.3,93.4,101.8,111.4,115.3,119.6,128.6
All,Male,50-59,564,103.9,0.69,83.6,87.1,90.2,94.0,102.9,111.1,117.3,122.3,129.7
All,Male,60-69,649,106.7,0.74,84.6,90.2,93.0,97.5,105.5,115.6,120.8,124.6,129.9
All,Male,70-79,530,105.4,0.73,84.8,88.9,91.8,96.1,104.4,113.5,118.3,121.9,129.1
All,Male,80-100,319,100.4,0.38,82.1,84.9,88.4,92.5,100.2,108.0,112.9,116.0,119.4
White,Male,20-39,652,96.5,0.63,76.7,79.9,81.9,86.0,94.1,104.1,110.6,114.1,123.4
White,Male,40-59,686,104.3,0.65,84.2,88.2,90.5,95.1,103.1,112.0,117.0,122.3,130.4
White,Male,60-100,904,106.3,0.41,85.7,90.2,93.0,96.9,105.1,114.7,118.9,123.3,129.8
Black,Male,20-39,345,95.5,1.04,73.3,76.0,78.2,82.9,92.4,104.9,112.6,117.0,130.3
Black,Male,40-59,299,100.0,0.95,77.9,81.5,83.7,89.2,97.3,108.2,114.9,120.4,130.7
Black,Male,60-100,255,102.0,0.86,79.3,83.0,88.6,92.2,101.8,110.4,117.7,121.0,125.0
Hisp,Male,20-39,358,96.2,1.07,76.6,81.3,83.9,87.3,94.2,102.8,108.6,112.0,118.8
Hisp,Male,40-59,243,99.4,0.71,84.1,85.8,88.3,93.1,98.3,105.4,109.0,111.3,113.1
Hisp,Male,60-100,274,103.0,0.89,84.0,89.6,92.1,95.7,102.1,110.4,115.6,118.5,121.6
