,0,Overweight,Hypertension,High_Cholesterol
0,AL,0.6508379888268156,0.17318435754189945,0.1424581005586592
1,AK,0.5740740740740741,0.16666666666666666,0.05555555555555555
2,AZ,0.66015625,0.126953125,0.09765625
3,AR,0.6337448559670782,0.14814814814814814,0.1522633744855967
4,CA,0.6707202993451824,0.1368880573744933,0.11194262550670409
5,CO,0.6305418719211823,0.10098522167487685,0.08374384236453201
6,CT,0.6616541353383458,0.14661654135338345,0.10902255639097744
7,DE,0.5555555555555556,0.09722222222222222,0.08333333333333333
8,DC,0.6,0.08,0.06
9,FL,0.681245858184228,0.16964877402253148,0.12524850894632206
10,GA,0.66078697421981,0.13432835820895522,0.11533242876526459
11,HI,0.6517857142857143,0.17857142857142858,0.16964285714285715
12,ID,0.6285714285714286,0.17142857142857143,0.09523809523809523
13,IL,0.6643835616438356,0.13405088062622308,0.10176125244618395
14,IN,0.6563786008230452,0.15432098765432098,0.12757201646090535
15,IA,0.6593886462882096,0.16593886462882096,0.10480349344978165
16,KS,0.6130434782608696,0.15217391304347827,0.08695652173913043
17,KY,0.6204819277108434,0.13855421686746988,0.09337349397590361
18,LA,0.6260623229461756,0.15864022662889518,0.1359773371104816
19,ME,0.6875,0.16964285714285715,0.11607142857142858
20,MD,0.593103448275862,0.14022988505747128,0.11724137931034483
21,MA,0.6379310344827587,0.13218390804597702,0.10344827586206896
22,MI,0.6456375838926175,0.15167785234899328,0.13020134228187918
23,MN,0.6144578313253012,0.13012048192771083,0.10843373493975904
24,MS,0.6076555023923444,0.14354066985645933,0.10526315789473684
25,MO,0.6238532110091743,0.1444954128440367,0.13990825688073394
26,MT,0.6582278481012658,0.12658227848101267,0.1518987341772152
27,NE,0.6388888888888888,0.16666666666666666,0.10416666666666667
28,NV,0.7058823529411765,0.12184873949579832,0.13865546218487396
29,NH,0.6226415094339622,0.1509433962264151,0.1509433962264151
30,NJ,0.679399727148704,0.13369713506139155,0.10641200545702592
31,NM,0.6666666666666666,0.13978494623655913,0.1881720430107527
32,NY,0.6531614487415592,0.13812154696132597,0.10374462860650706
33,NC,0.6657571623465212,0.18281036834924966,0.11732605729877217
34,ND,0.4791666666666667,0.16666666666666666,0.16666666666666666
35,OH,0.636568848758465,0.1489841986455982,0.12866817155756208
36,OK,0.6401384083044983,0.1453287197231834,0.10726643598615918
37,OR,0.6170886075949367,0.16139240506329114,0.13924050632911392
38,PA,0.661139896373057,0.15647668393782382,0.11398963730569948
39,PR,0.7264705882352941,0.16176470588235295,0.12058823529411765
40,RI,0.651685393258427,0.12359550561797752,0.0898876404494382
41,SC,0.6556473829201102,0.12672176308539945,0.11019283746556474
42,SD,0.6226415094339622,0.1509433962264151,0.1509433962264151
43,TN,0.6793587174348698,0.12424849699398798,0.12224448897795591
44,TX,0.67255297679112,0.1296670030272452,0.09838546922300706
45,UT,0.6282722513089005,0.09947643979057591,0.1256544502617801
46,VT,0.6222222222222222,0.2222222222222222,0.08888888888888889
47,VA,0.6524486571879937,0.13902053712480253,0.12164296998420221
48,WA,0.6634615384615384,0.175,0.10576923076923077
49,WV,0.6944444444444444,0.1736111111111111,0.09722222222222222
50,WI,0.6067415730337079,0.14157303370786517,0.15955056179775282
51,WY,0.7045454545454546,0.20454545454545456,0.13636363636363635
