,0,Overweight,,,,,,Hypertension,,,,,,High_Cholesterol,
,,Simulated,Actual,Difference,%Error,,,Simulated,Actual,Difference,%Error,,,Simulated,Actual
0,AL,64.84375,68.17,3.32625,4.8793457532639,,,13.5416666666667,13.4,0.141666666666666,1.05721393034825,,,0.114583333333333,0.4438
1,AK,67.3469387755102,66.06,1.28693877551019,1.94813620270995,,,14.2857142857143,13.4,0.885714285714284,6.6098081023454,,,0.122448979591837,0.3863
2,AZ,68.5393258426966,61.82,6.71932584269662,10.8691780050091,,,13.2958801498127,13.4,0.104119850187267,0.777013807367665,,,0.110486891385768,0.3972
3,AR,65.8878504672897,69.89,4.00214953271029,5.72635503320974,,,18.2242990654206,13.4,4.82429906542056,36.0022318314967,,,0.121495327102804,0.4243
4,CA,65.2756150731859,60.13,5.14561507318592,8.55748390684503,,,13.3603238866397,13.4,0.0396761133603238,0.296090398211372,,,0.104328869511056,0.3772
5,CO,66.0668380462725,56.36,9.70683804627249,17.2229205931024,,,13.8817480719794,13.4,0.481748071979435,3.59513486551817,,,0.113110539845758,0.3483
6,CT,68.1159420289855,62.55,5.56594202898551,8.89838853554838,,,17.3913043478261,13.4,3.99130434782609,29.7858533419857,,,0.126811594202899,0.3784
7,DE,69.8630136986301,64.57,5.29301369863013,8.1973264652782,,,15.0684931506849,13.4,1.66849315068493,12.4514414230219,,,0.164383561643836,0.4058
8,DC,71.6981132075472,53.76,17.9381132075471,33.3670260557053,,,7.54716981132076,13.4,5.85283018867925,43.6778372289496,,,0.0943396226415094,0.34
9,FL,67.8077682685978,62.77,5.03776826859775,8.02575795538912,,,13.8248847926267,13.4,0.424884792626729,3.17078203452783,,,0.117840684660961,0.4033
10,GA,64.5805592543276,65.69,1.10944074567243,1.68890355559816,,,15.8455392809587,13.4,2.44553928095872,18.250293141483,,,0.121171770972037,0.3814
11,HI,61.0619469026549,55.35,5.71194690265486,10.3196872676691,,,15.0442477876106,13.4,1.64424778761062,12.2705058776912,,,0.123893805309735,0.3495
12,ID,66.3716814159292,64.94,1.43168141592921,2.20462182927195,,,14.1592920353982,13.4,0.75929203539823,5.66635847312112,,,0.0973451327433629,0.3844
13,IL,65.1096282173499,64.72,0.389628217349852,0.602021349428078,,,15.2526215443279,13.4,1.85262154432793,13.825533912895,,,0.1163012392755,0.366
14,IN,65.863453815261,67.26,1.39654618473897,2.07633985242189,,,16.0642570281125,13.4,2.66425702811245,19.8825151351675,,,0.0983935742971888,0.3982
15,IA,68.1222707423581,67.01,1.11227074235808,1.65985784563211,,,15.2838427947598,13.4,1.88384279475982,14.0585283191032,,,0.161572052401747,0.4106
