state,state population,ethnicity,gender,age group,group population
AL,4779736,NavAm,Male,0-4,908
AK,710231,NavAm,Male,0-4,5116
AZ,6392017,NavAm,Male,0-4,14030
AR,2915918,NavAm,Male,0-4,811
CA,37253956,NavAm,Male,0-4,13753
CO,5029196,NavAm,Male,0-4,2007
CT,3574097,NavAm,Male,0-4,436
DE,897934,NavAm,Male,0-4,168
DC,601723,NavAm,Male,0-4,60
FL,18801310,NavAm,Male,0-4,2328
GA,9687653,NavAm,Male,0-4,1340
HI,1360301,NavAm,Male,0-4,100
ID,1567582,NavAm,Male,0-4,891
IL,12830632,NavAm,Male,0-4,1833
IN,6483802,NavAm,Male,0-4,591
IA,3046355,NavAm,Male,0-4,484
KS,2853118,NavAm,Male,0-4,1007
KY,4339367,NavAm,Male,0-4,278
LA,4533372,NavAm,Male,0-4,1149
ME,1328361,NavAm,Male,0-4,320
MD,5773552,NavAm,Male,0-4,725
MA,6547629,NavAm,Male,0-4,740
MI,9883640,NavAm,Male,0-4,2213
MN,5303925,NavAm,Male,0-4,3035
MS,2967297,NavAm,Male,0-4,749
MO,5988927,NavAm,Male,0-4,807
MT,989415,NavAm,Male,0-4,3481
NE,1826341,NavAm,Male,0-4,1008
NV,2700551,NavAm,Male,0-4,1152
NH,1316470,NavAm,Male,0-4,73
NJ,8791894,NavAm,Male,0-4,1369
NM,2059179,NavAm,Male,0-4,8576
NY,19378102,NavAm,Male,0-4,4164
NC,9535483,NavAm,Male,0-4,4682
ND,672591,NavAm,Male,0-4,2103
OH,11536504,NavAm,Male,0-4,711
OK,3751351,NavAm,Male,0-4,14783
OR,3831074,NavAm,Male,0-4,1991
PA,12702379,NavAm,Male,0-4,1011
RI,1052567,NavAm,Male,0-4,228
SC,4625364,NavAm,Male,0-4,698
SD,814180,NavAm,Male,0-4,4405
TN,6346105,NavAm,Male,0-4,611
TX,25145561,NavAm,Male,0-4,6831
UT,2763885,NavAm,Male,0-4,1493
VT,625741,NavAm,Male,0-4,49
VA,8001024,NavAm,Male,0-4,981
WA,6724540,NavAm,Male,0-4,4297
WV,1852994,NavAm,Male,0-4,66
WI,5686986,NavAm,Male,0-4,2404
WY,563626,NavAm,Male,0-4,706
PR,3725789,NavAm,Male,0-4,567
AL,4779736,NavAm,Male,5-9,956
AK,710231,NavAm,Male,5-9,4717
AZ,6392017,NavAm,Male,5-9,13459
AR,2915918,NavAm,Male,5-9,846
CA,37253956,NavAm,Male,5-9,13559
CO,5029196,NavAm,Male,5-9,2129
CT,3574097,NavAm,Male,5-9,449
DE,897934,NavAm,Male,5-9,152
DC,601723,NavAm,Male,5-9,42
FL,18801310,NavAm,Male,5-9,2409
GA,9687653,NavAm,Male,5-9,1321
HI,1360301,NavAm,Male,5-9,104
ID,1567582,NavAm,Male,5-9,926
IL,12830632,NavAm,Male,5-9,1964
IN,6483802,NavAm,Male,5-9,641
IA,3046355,NavAm,Male,5-9,564
KS,2853118,NavAm,Male,5-9,1126
KY,4339367,NavAm,Male,5-9,309
LA,4533372,NavAm,Male,5-9,1222
ME,1328361,NavAm,Male,5-9,332
MD,5773552,NavAm,Male,5-9,746
MA,6547629,NavAm,Male,5-9,713
MI,9883640,NavAm,Male,5-9,2395
MN,5303925,NavAm,Male,5-9,2824
MS,2967297,NavAm,Male,5-9,708
MO,5988927,NavAm,Male,5-9,927
MT,989415,NavAm,Male,5-9,3163
NE,1826341,NavAm,Male,5-9,1052
NV,2700551,NavAm,Male,5-9,1161
NH,1316470,NavAm,Male,5-9,102
NJ,8791894,NavAm,Male,5-9,1105
NM,2059179,NavAm,Male,5-9,8286
NY,19378102,NavAm,Male,5-9,4194
NC,9535483,NavAm,Male,5-9,4864
ND,672591,NavAm,Male,5-9,1899
OH,11536504,NavAm,Male,5-9,753
OK,3751351,NavAm,Male,5-9,15500
OR,3831074,NavAm,Male,5-9,2039
PA,12702379,NavAm,Male,5-9,1004
RI,1052567,NavAm,Male,5-9,270
SC,4625364,NavAm,Male,5-9,676
SD,814180,NavAm,Male,5-9,4057
TN,6346105,NavAm,Male,5-9,642
TX,25145561,NavAm,Male,5-9,7392
UT,2763885,NavAm,Male,5-9,1495
VT,625741,NavAm,Male,5-9,57
VA,8001024,NavAm,Male,5-9,1010
WA,6724540,NavAm,Male,5-9,4186
WV,1852994,NavAm,Male,5-9,98
WI,5686986,NavAm,Male,5-9,2304
WY,563626,NavAm,Male,5-9,649
PR,3725789,NavAm,Male,5-9,708
AL,4779736,NavAm,Male,10-14,1100
AK,710231,NavAm,Male,10-14,4903
AZ,6392017,NavAm,Male,10-14,13441
AR,2915918,NavAm,Male,10-14,890
CA,37253956,NavAm,Male,10-14,14594
CO,5029196,NavAm,Male,10-14,2130
CT,3574097,NavAm,Male,10-14,457
DE,897934,NavAm,Male,10-14,132
DC,601723,NavAm,Male,10-14,40
FL,18801310,NavAm,Male,10-14,2533
GA,9687653,NavAm,Male,10-14,1273
HI,1360301,NavAm,Male,10-14,91
ID,1567582,NavAm,Male,10-14,934
IL,12830632,NavAm,Male,10-14,1880
IN,6483802,NavAm,Male,10-14,671
IA,3046355,NavAm,Male,10-14,490
KS,2853118,NavAm,Male,10-14,1231
KY,4339367,NavAm,Male,10-14,306
LA,4533372,NavAm,Male,10-14,1301
ME,1328361,NavAm,Male,10-14,279
MD,5773552,NavAm,Male,10-14,690
MA,6547629,NavAm,Male,10-14,707
MI,9883640,NavAm,Male,10-14,2521
MN,5303925,NavAm,Male,10-14,2666
